Round,Location,Home.Team,Away.Team,Home.Score,Away.Score
14,MCG,Melbourne,Fremantle,85,71
14,Marvel Stadium,St Kilda,Brisbane Lions,59,115
14,Adelaide Oval,Port Adelaide,Geelong Cats,67,56
14,Marvel Stadium,Western Bulldogs,Collingwood,73,82
15,Marvel Stadium,Essendon,GWS Giants,77,71
15,GMHBA Stadium,Geelong Cats,Adelaide Crows,96,69
15,MCG,Hawthorn,West Coast Eagles,71,77
15,SCG,Sydney Swans,Gold Coast Suns,93,51
15,Marvel Stadium,Collingwood,North Melbourne,37,81
15,Adelaide Oval,Port Adelaide,Western Bulldogs,41,66
15,Marvel Stadium,St Kilda,Richmond,70,103
15,Gabba,Brisbane Lions,Melbourne,107,74
15,Optus Stadium,Fremantle,Carlton,75,79
16,MCG,Hawthorn,Collingwood,67,63
16,MCG,Essendon,Sydney Swans,76,66
16,Metricon Stadium,Gold Coast Suns,Richmond,58,150
16,Adelaide Oval,Adelaide Crows,Port Adelaide,44,101
16,Marvel Stadium,Western Bulldogs,Geelong Cats,71,55
16,Optus Stadium,Fremantle,West Coast Eagles,31,122
16,MCG,Carlton,Melbourne,100,105
16,Blundstone Arena,North Melbourne,St Kilda,112,73
16,Sydney Showground Stadium,GWS Giants,Brisbane Lions,74,94
17,Optus Stadium,West Coast Eagles,Collingwood,77,78
17,SCG,Sydney Swans,Carlton,62,69
17,University of Tasmania Stadium,Hawthorn,Fremantle,84,53
17,Marvel Stadium,Essendon,North Melbourne,86,81
17,Metricon Stadium,Gold Coast Suns,Adelaide Crows,56,151
17,GMHBA Stadium,Geelong Cats,St Kilda,84,57
17,MCG,Richmond,GWS Giants,94,67
17,Marvel Stadium,Western Bulldogs,Melbourne,74,66
17,Adelaide Oval,Port Adelaide,Brisbane Lions,49,97
18,Adelaide Oval,Adelaide Crows,Essendon,75,96
18,MCG,Richmond,Port Adelaide,101,63
18,Marvel Stadium,Carlton,Gold Coast Suns,99,75
18,Sydney Showground Stadium,GWS Giants,Collingwood,122,75
18,Gabba,Brisbane Lions,North Melbourne,87,75
18,Optus Stadium,Fremantle,Sydney Swans,52,51
18,MCG,Geelong Cats,Hawthorn,61,85
18,TIO Traeger Park,Melbourne,West Coast Eagles,78,91
18,Marvel Stadium,St Kilda,Western Bulldogs,116,89
19,MCG,Collingwood,Richmond,66,98
19,University of Tasmania Stadium,Hawthorn,Brisbane Lions,60,87
19,MCG,Carlton,Adelaide Crows,87,60
19,Optus Stadium,West Coast Eagles,North Melbourne,121,72
19,Marvel Stadium,St Kilda,Melbourne,104,85
19,Adelaide Oval,Port Adelaide,GWS Giants,55,56
19,Marvel Stadium,Western Bulldogs,Fremantle,113,66
19,SCG,Sydney Swans,Geelong Cats,80,107
19,Metricon Stadium,Gold Coast Suns,Essendon,96,106
20,Marvel Stadium,North Melbourne,Hawthorn,86,64
20,Marvel Stadium,Essendon,Port Adelaide,67,126
20,Sydney Showground Stadium,GWS Giants,Sydney Swans,83,81
20,Optus Stadium,Fremantle,Geelong Cats,95,61
20,MCG,Melbourne,Richmond,60,93
20,Adelaide Oval,Adelaide Crows,St Kilda,92,70
20,MCG,Collingwood,Gold Coast Suns,120,51
20,Marvel Stadium,Carlton,West Coast Eagles,75,99
20,Gabba,Brisbane Lions,Western Bulldogs,98,80
21,UNSW Canberra Oval,GWS Giants,Hawthorn,29,85
21,MCG,Melbourne,Collingwood,53,70
21,Adelaide Oval,Port Adelaide,Sydney Swans,103,56
21,Gabba,Brisbane Lions,Gold Coast Suns,144,53
21,Marvel Stadium,Essendon,Western Bulldogs,33,137
21,GMHBA Stadium,Geelong Cats,North Melbourne,69,14
21,Marvel Stadium,St Kilda,Fremantle,72,69
21,MCG,Richmond,Carlton,73,45
21,Optus Stadium,West Coast Eagles,Adelaide Crows,90,80
22,MCG,Melbourne,Sydney Swans,42,95
22,MCG,Carlton,St Kilda,78,74
22,Gabba,Brisbane Lions,Geelong Cats,75,74
22,Adelaide Oval,Adelaide Crows,Collingwood,48,114
22,Marvel Stadium,North Melbourne,Port Adelaide,144,58
22,Optus Stadium,Fremantle,Essendon,55,87
22,MCG,Richmond,West Coast Eagles,88,82
22,Sydney Showground Stadium,GWS Giants,Western Bulldogs,65,126
22,Marvel Stadium,Hawthorn,Gold Coast Suns,118,48
23,MCG,Collingwood,Essendon,76,65
23,SCG,Sydney Swans,St Kilda,109,64
23,Blundstone Arena,North Melbourne,Melbourne,88,83
23,GMHBA Stadium,Geelong Cats,Carlton,129,61
23,Metricon Stadium,Gold Coast Suns,GWS Giants,55,127
23,Optus Stadium,West Coast Eagles,Hawthorn,67,105
23,Mars Stadium,Western Bulldogs,Adelaide Crows,121,87
23,MCG,Richmond,Brisbane Lions,82,55
23,Adelaide Oval,Port Adelaide,Fremantle,110,67
